Date,Index
"Tuesday, Dec 31, 1974",18.796
"Friday, Jan 31, 1975",19.600
"Friday, Feb 28, 1975",20.366
"Monday, Mar 31, 1975",20.909
"Wednesday, Apr 30, 1975",21.909
"Friday, May 30, 1975",23.097
"Monday, Jun 30, 1975",23.907
"Thursday, Jul 31, 1975",22.218
"Friday, Aug 29, 1975",21.874
"Tuesday, Sep 30, 1975",20.877
"Friday, Oct 31, 1975",21.728
"Friday, Nov 28, 1975",22.132
"Wednesday, Dec 31, 1975",21.968
"Friday, Jan 30, 1976",24.705
"Friday, Feb 27, 1976",24.489
"Wednesday, Mar 31, 1976",25.057
"Friday, Apr 30, 1976",24.824
"Monday, May 31, 1976",24.168
"Wednesday, Jun 30, 1976",25.024
"Friday, Jul 30, 1976",24.635
"Tuesday, Aug 31, 1976",24.207
"Thursday, Sep 30, 1976",24.707
"Friday, Oct 29, 1976",23.942
"Tuesday, Nov 30, 1976",23.877
"Friday, Dec 31, 1976",25.062
"Monday, Jan 31, 1977",23.929
"Monday, Feb 28, 1977",23.303
"Thursday, Mar 31, 1977",23.146
"Friday, Apr 29, 1977",24.036
"Tuesday, May 31, 1977",23.878
"Thursday, Jun 30, 1977",24.887
"Friday, Jul 29, 1977",24.403
"Wednesday, Aug 31, 1977",23.169
"Friday, Sep 30, 1977",23.241
"Monday, Oct 31, 1977",22.273
"Wednesday, Nov 30, 1977",22.980
"Friday, Dec 30, 1977",23.053
"Tuesday, Jan 31, 1978",21.365
"Tuesday, Feb 28, 1978",21.117
"Friday, Mar 31, 1978",21.673
"Friday, Apr 28, 1978",23.574
"Wednesday, May 31, 1978",24.100
"Friday, Jun 30, 1978",23.901
"Monday, Jul 31, 1978",25.802
"Thursday, Aug 31, 1978",26.240
"Friday, Sep 29, 1978",25.382
"Tuesday, Oct 31, 1978",22.675
"Thursday, Nov 30, 1978",23.498
"Friday, Dec 29, 1978",24.094
"Wednesday, Jan 31, 1979",24.846
"Wednesday, Feb 28, 1979",23.613
"Friday, Mar 30, 1979",25.022
"Monday, Apr 30, 1979",25.081
"Thursday, May 31, 1979",24.369
"Friday, Jun 29, 1979",25.780
"Tuesday, Jul 31, 1979",26.238
"Friday, Aug 31, 1979",27.787
"Friday, Sep 28, 1979",28.285
"Wednesday, Oct 31, 1979",26.575
"Friday, Nov 30, 1979",28.292
"Monday, Dec 31, 1979",28.744
"Thursday, Jan 31, 1980",31.787
"Friday, Feb 29, 1980",33.091
"Monday, Mar 31, 1980",28.560
"Wednesday, Apr 30, 1980",29.058
"Friday, May 30, 1980",30.215
"Monday, Jun 30, 1980",31.080
"Thursday, Jul 31, 1980",33.307
"Friday, Aug 29, 1980",33.306
"Tuesday, Sep 30, 1980",35.262
"Friday, Oct 31, 1980",36.902
"Friday, Nov 28, 1980",43.823
"Wednesday, Dec 31, 1980",40.101
"Friday, Jan 30, 1981",36.529
"Friday, Feb 27, 1981",36.914
"Tuesday, Mar 31, 1981",37.703
"Thursday, Apr 30, 1981",35.782
"Friday, May 29, 1981",34.704
"Tuesday, Jun 30, 1981",33.086
"Friday, Jul 31, 1981",32.359
"Monday, Aug 31, 1981",30.159
"Wednesday, Sep 30, 1981",29.883
"Friday, Oct 30, 1981",32.168
"Monday, Nov 30, 1981",32.613
"Thursday, Dec 31, 1981",31.352
"Friday, Jan 29, 1982",31.817
"Friday, Feb 26, 1982",31.493
"Wednesday, Mar 31, 1982",31.576
"Friday, Apr 30, 1982",32.731
"Monday, May 31, 1982",30.981
"Wednesday, Jun 30, 1982",31.272
"Friday, Jul 30, 1982",31.257
"Tuesday, Aug 31, 1982",34.664
"Thursday, Sep 30, 1982",35.016
"Friday, Oct 29, 1982",38.498
"Tuesday, Nov 30, 1982",40.362
"Friday, Dec 31, 1982",40.199
"Monday, Jan 31, 1983",40.619
"Monday, Feb 28, 1983",42.680
"Thursday, Mar 31, 1983",44.305
"Friday, Apr 29, 1983",47.340
"Tuesday, May 31, 1983",45.856
"Thursday, Jun 30, 1983",48.222
"Friday, Jul 29, 1983",45.916
"Wednesday, Aug 31, 1983",45.664
"Friday, Sep 30, 1983",46.224
"Monday, Oct 31, 1983",45.044
"Wednesday, Nov 30, 1983",46.973
"Friday, Dec 30, 1983",46.212
"Tuesday, Jan 31, 1984",44.551
"Wednesday, Feb 29, 1984",41.631
"Friday, Mar 30, 1984",42.546
"Monday, Apr 30, 1984",42.796
"Thursday, May 31, 1984",40.052
"Friday, Jun 29, 1984",40.433
"Tuesday, Jul 31, 1984",39.299
"Friday, Aug 31, 1984",43.228
"Friday, Sep 28, 1984",43.453
"Wednesday, Oct 31, 1984",43.361
"Friday, Nov 30, 1984",42.872
"Monday, Dec 31, 1984",44.033
"Thursday, Jan 31, 1985",45.492
"Thursday, Feb 28, 1985",46.598
"Friday, Mar 29, 1985",47.936
"Tuesday, Apr 30, 1985",47.718
"Friday, May 31, 1985",50.121
"Friday, Jun 28, 1985",50.946
"Wednesday, Jul 31, 1985",48.918
"Friday, Aug 30, 1985",48.978
"Monday, Sep 30, 1985",47.258
"Thursday, Oct 31, 1985",50.351
"Friday, Nov 29, 1985",53.463
"Tuesday, Dec 31, 1985",55.404
"Friday, Jan 31, 1986",56.554
"Friday, Feb 28, 1986",61.281
"Monday, Mar 31, 1986",66.447
"Wednesday, Apr 30, 1986",65.112
"Friday, May 30, 1986",69.507
"Monday, Jun 30, 1986",72.673
"Thursday, Jul 31, 1986",68.638
"Friday, Aug 29, 1986",71.053
"Tuesday, Sep 30, 1986",62.209
"Friday, Oct 31, 1986",67.202
"Friday, Nov 28, 1986",68.718
"Wednesday, Dec 31, 1986",67.223
"Friday, Jan 30, 1987",76.613
"Friday, Feb 27, 1987",77.428
"Tuesday, Mar 31, 1987",79.164
"Thursday, Apr 30, 1987",77.825
"Friday, May 29, 1987",77.872
"Tuesday, Jun 30, 1987",81.594
"Friday, Jul 31, 1987",86.204
"Monday, Aug 31, 1987",89.418
"Wednesday, Sep 30, 1987",89.321
"Friday, Oct 30, 1987",68.480
"Monday, Nov 30, 1987",62.301
"Thursday, Dec 31, 1987",65.531
"Friday, Jan 29, 1988",65.406
"Monday, Feb 29, 1988",68.876
"Thursday, Mar 31, 1988",65.947
"Friday, Apr 29, 1988",66.044
"Tuesday, May 31, 1988",66.291
"Thursday, Jun 30, 1988",68.517
"Friday, Jul 29, 1988",67.692
"Wednesday, Aug 31, 1988",64.484
"Friday, Sep 30, 1988",67.136
"Monday, Oct 31, 1988",68.292
"Wednesday, Nov 30, 1988",66.626
"Friday, Dec 30, 1988",66.241
"Tuesday, Jan 31, 1989",71.069
"Tuesday, Feb 28, 1989",69.754
"Friday, Mar 31, 1989",72.761
"Friday, Apr 28, 1989",77.089
"Wednesday, May 31, 1989",81.932
"Friday, Jun 30, 1989",81.885
"Monday, Jul 31, 1989",91.214
"Thursday, Aug 31, 1989",91.514
"Friday, Sep 29, 1989",93.380
"Tuesday, Oct 31, 1989",91.991
"Thursday, Nov 30, 1989",94.231
"Friday, Dec 29, 1989",94.997
"Wednesday, Jan 31, 1990",86.833
"Wednesday, Feb 28, 1990",87.378
"Friday, Mar 30, 1990",89.827
"Monday, Apr 30, 1990",88.519
"Thursday, May 31, 1990",98.439
"Friday, Jun 29, 1990",100.638
"Tuesday, Jul 31, 1990",101.088
"Friday, Aug 31, 1990",92.368
"Friday, Sep 28, 1990",88.053
"Wednesday, Oct 31, 1990",88.957
"Friday, Nov 30, 1990",94.448
"Monday, Dec 31, 1990",95.941
"Thursday, Jan 31, 1991",98.028
"Thursday, Feb 28, 1991",105.714
"Friday, Mar 29, 1991",110.380
"Tuesday, Apr 30, 1991",109.856
"Friday, May 31, 1991",112.119
"Friday, Jun 28, 1991",107.483
"Wednesday, Jul 31, 1991",114.427
"Friday, Aug 30, 1991",118.014
"Monday, Sep 30, 1991",114.928
"Thursday, Oct 31, 1991",118.887
"Friday, Nov 29, 1991",115.053
"Tuesday, Dec 31, 1991",130.508
"Friday, Jan 31, 1992",122.894
"Friday, Feb 28, 1992",123.844
"Tuesday, Mar 31, 1992",119.799
"Thursday, Apr 30, 1992",121.028
"Friday, May 29, 1992",123.204
"Tuesday, Jun 30, 1992",119.421
"Friday, Jul 31, 1992",122.497
"Monday, Aug 31, 1992",116.286
"Wednesday, Sep 30, 1992",118.286
"Friday, Oct 30, 1992",123.602
"Monday, Nov 30, 1992",130.185
"Thursday, Dec 31, 1992",133.011
"Friday, Jan 29, 1993",139.086
"Friday, Feb 26, 1993",140.794
"Wednesday, Mar 31, 1993",146.138
"Friday, Apr 30, 1993",139.781
"Monday, May 31, 1993",146.649
"Wednesday, Jun 30, 1993",151.267
"Friday, Jul 30, 1993",154.288
"Tuesday, Aug 31, 1993",163.580
"Thursday, Sep 30, 1993",167.421
"Friday, Oct 29, 1993",168.003
"Tuesday, Nov 30, 1993",161.236
"Friday, Dec 31, 1993",161.514
"Monday, Jan 31, 1994",171.350
"Monday, Feb 28, 1994",168.305
"Thursday, Mar 31, 1994",160.475
"Friday, Apr 29, 1994",158.685
"Tuesday, May 31, 1994",161.322
"Thursday, Jun 30, 1994",154.736
"Friday, Jul 29, 1994",159.462
"Wednesday, Aug 31, 1994",166.509
"Friday, Sep 30, 1994",161.408
"Monday, Oct 31, 1994",164.207
"Wednesday, Nov 30, 1994",155.712
"Friday, Dec 30, 1994",158.060
"Tuesday, Jan 31, 1995",159.890
"Tuesday, Feb 28, 1995",166.192
"Friday, Mar 31, 1995",173.507
"Friday, Apr 28, 1995",180.889
"Wednesday, May 31, 1995",187.201
"Friday, Jun 30, 1995",193.942
"Monday, Jul 31, 1995",200.649
"Thursday, Aug 31, 1995",199.060
"Friday, Sep 29, 1995",208.182
"Tuesday, Oct 31, 1995",213.918
"Thursday, Nov 30, 1995",219.585
"Friday, Dec 29, 1995",221.141
"Wednesday, Jan 31, 1996",231.673
"Thursday, Feb 29, 1996",235.457
"Friday, Mar 29, 1996",234.736
"Tuesday, Apr 30, 1996",238.797
"Friday, May 31, 1996",248.193
"Friday, Jun 28, 1996",251.403
"Wednesday, Jul 31, 1996",241.335
"Friday, Aug 30, 1996",247.175
"Monday, Sep 30, 1996",263.463
"Thursday, Oct 31, 1996",271.427
"Friday, Nov 29, 1996",290.403
"Tuesday, Dec 31, 1996",282.675
"Friday, Jan 31, 1997",308.236
"Friday, Feb 28, 1997",308.601
"Monday, Mar 31, 1997",291.437
"Wednesday, Apr 30, 1997",320.225
"Friday, May 30, 1997",336.102
"Monday, Jun 30, 1997",354.255
"Thursday, Jul 31, 1997",383.832
"Friday, Aug 29, 1997",354.438
"Tuesday, Sep 30, 1997",373.482
"Friday, Oct 31, 1997",362.194
"Friday, Nov 28, 1997",375.815
"Wednesday, Dec 31, 1997",381.850
"Friday, Jan 30, 1998",391.852
"Friday, Feb 27, 1998",416.431
"Tuesday, Mar 31, 1998",443.778
"Thursday, Apr 30, 1998",461.604
"Friday, May 29, 1998",449.822
"Tuesday, Jun 30, 1998",484.033
"Friday, Jul 31, 1998",491.274
"Monday, Aug 31, 1998",413.469
"Wednesday, Sep 30, 1998",432.802
"Friday, Oct 30, 1998",472.791
"Monday, Nov 30, 1998",511.386
"Thursday, Dec 31, 1998",563.180
"Friday, Jan 29, 1999",587.011
"Friday, Feb 26, 1999",572.084
"Wednesday, Mar 31, 1999",604.576
"Friday, Apr 30, 1999",606.015
"Monday, May 31, 1999",588.870
"Wednesday, Jun 30, 1999",636.317
"Friday, Jul 30, 1999",614.773
"Tuesday, Aug 31, 1999",611.694
"Thursday, Sep 30, 1999",609.853
"Friday, Oct 29, 1999",660.109
"Tuesday, Nov 30, 1999",687.000
"Friday, Dec 31, 1999",785.892
"Monday, Jan 31, 2000",731.690
"Tuesday, Feb 29, 2000",757.060
"Friday, Mar 31, 2000",827.092
"Friday, Apr 28, 2000",783.384
"Wednesday, May 31, 2000",734.758
"Friday, Jun 30, 2000",778.726
"Monday, Jul 31, 2000",764.952
"Thursday, Aug 31, 2000",826.683
"Friday, Sep 29, 2000",749.753
"Tuesday, Oct 31, 2000",715.762
"Thursday, Nov 30, 2000",685.344
"Friday, Dec 29, 2000",706.714
"Wednesday, Jan 31, 2001",678.088
"Wednesday, Feb 28, 2001",622.437
"Friday, Mar 30, 2001",573.757
"Monday, Apr 30, 2001",615.099
"Thursday, May 31, 2001",614.853
"Friday, Jun 29, 2001",593.274
"Tuesday, Jul 31, 2001",591.487
"Friday, Aug 31, 2001",574.667
"Friday, Sep 28, 2001",536.792
"Wednesday, Oct 31, 2001",532.998
"Friday, Nov 30, 2001",567.058
"Monday, Dec 31, 2001",575.561
"Thursday, Jan 31, 2002",582.173
"Thursday, Feb 28, 2002",587.150
"Friday, Mar 29, 2002",606.789
"Tuesday, Apr 30, 2002",606.791
"Friday, May 31, 2002",606.945
"Friday, Jun 28, 2002",575.012
"Wednesday, Jul 31, 2002",539.462
"Friday, Aug 30, 2002",545.365
"Monday, Sep 30, 2002",509.239
