Date_String,MSCI,Date,SP500,Year
"Wednesday, Jan 31, 1990",86.833,1990-01-31 00:00:00,329.08,01-1990
"Wednesday, Feb 28, 1990",87.378,1990-02-28 00:00:00,331.89,02-1990
"Friday, Mar 30, 1990",89.827,1990-03-30 00:00:00,339.94,03-1990
"Monday, Apr 30, 1990",88.519,1990-04-30 00:00:00,330.8,04-1990
"Thursday, May 31, 1990",98.439,1990-05-31 00:00:00,361.23,05-1990
"Friday, Jun 29, 1990",100.638,1990-06-29 00:00:00,358.02,06-1990
"Tuesday, Jul 31, 1990",101.088,1990-07-31 00:00:00,356.15,07-1990
"Friday, Aug 31, 1990",92.368,1990-08-31 00:00:00,322.56,08-1990
"Friday, Sep 28, 1990",88.053,1990-09-28 00:00:00,306.05,09-1990
"Wednesday, Oct 31, 1990",88.957,1990-10-31 00:00:00,304,10-1990
"Friday, Nov 30, 1990",94.448,1990-11-30 00:00:00,322.22,11-1990
"Monday, Dec 31, 1990",95.941,1990-12-31 00:00:00,330.22,12-1990
"Thursday, Jan 31, 1991",98.028,1991-01-31 00:00:00,343.93,01-1991
"Thursday, Feb 28, 1991",105.714,1991-02-28 00:00:00,367.07,02-1991
"Tuesday, Apr 30, 1991",109.856,1991-04-30 00:00:00,375.34,04-1991
"Friday, May 31, 1991",112.119,1991-05-31 00:00:00,389.83,05-1991
"Friday, Jun 28, 1991",107.483,1991-06-28 00:00:00,371.16,06-1991
"Wednesday, Jul 31, 1991",114.427,1991-07-31 00:00:00,387.81,07-1991
"Friday, Aug 30, 1991",118.014,1991-08-30 00:00:00,395.43,08-1991
"Monday, Sep 30, 1991",114.928,1991-09-30 00:00:00,387.86,09-1991
"Thursday, Oct 31, 1991",118.887,1991-10-31 00:00:00,392.45,10-1991
"Friday, Nov 29, 1991",115.053,1991-11-29 00:00:00,375.22,11-1991
"Tuesday, Dec 31, 1991",130.508,1991-12-31 00:00:00,417.09,12-1991
"Friday, Jan 31, 1992",122.894,1992-01-31 00:00:00,408.78,01-1992
"Friday, Feb 28, 1992",123.844,1992-02-28 00:00:00,412.7,02-1992
"Tuesday, Mar 31, 1992",119.799,1992-03-31 00:00:00,403.69,03-1992
"Thursday, Apr 30, 1992",121.028,1992-04-30 00:00:00,414.95,04-1992
"Friday, May 29, 1992",123.204,1992-05-29 00:00:00,415.35,05-1992
"Tuesday, Jun 30, 1992",119.421,1992-06-30 00:00:00,408.14,06-1992
"Friday, Jul 31, 1992",122.497,1992-07-31 00:00:00,424.21,07-1992
"Monday, Aug 31, 1992",116.286,1992-08-31 00:00:00,414.03,08-1992
"Wednesday, Sep 30, 1992",118.286,1992-09-30 00:00:00,417.8,09-1992
"Friday, Oct 30, 1992",123.602,1992-10-30 00:00:00,418.68,10-1992
"Monday, Nov 30, 1992",130.185,1992-11-30 00:00:00,431.35,11-1992
"Thursday, Dec 31, 1992",133.011,1992-12-31 00:00:00,435.71,12-1992
"Friday, Jan 29, 1993",139.086,1993-01-29 00:00:00,438.78,01-1993
"Friday, Feb 26, 1993",140.794,1993-02-26 00:00:00,443.38,02-1993
"Wednesday, Mar 31, 1993",146.138,1993-03-31 00:00:00,451.67,03-1993
"Friday, Apr 30, 1993",139.781,1993-04-30 00:00:00,440.19,04-1993
"Wednesday, Jun 30, 1993",151.267,1993-06-30 00:00:00,450.53,06-1993
"Friday, Jul 30, 1993",154.288,1993-07-30 00:00:00,448.13,07-1993
"Tuesday, Aug 31, 1993",163.580,1993-08-31 00:00:00,463.56,08-1993
"Thursday, Sep 30, 1993",167.421,1993-09-30 00:00:00,458.93,09-1993
"Friday, Oct 29, 1993",168.003,1993-10-29 00:00:00,467.83,10-1993
"Tuesday, Nov 30, 1993",161.236,1993-11-30 00:00:00,461.79,11-1993
"Friday, Dec 31, 1993",161.514,1993-12-31 00:00:00,466.45,12-1993
"Monday, Jan 31, 1994",171.350,1994-01-31 00:00:00,481.61,01-1994
"Monday, Feb 28, 1994",168.305,1994-02-28 00:00:00,467.14,02-1994
"Thursday, Mar 31, 1994",160.475,1994-03-31 00:00:00,445.77,03-1994
"Friday, Apr 29, 1994",158.685,1994-04-29 00:00:00,450.91,04-1994
"Tuesday, May 31, 1994",161.322,1994-05-31 00:00:00,456.5,05-1994
"Thursday, Jun 30, 1994",154.736,1994-06-30 00:00:00,444.27,06-1994
"Friday, Jul 29, 1994",159.462,1994-07-29 00:00:00,458.26,07-1994
"Wednesday, Aug 31, 1994",166.509,1994-08-31 00:00:00,475.49,08-1994
"Friday, Sep 30, 1994",161.408,1994-09-30 00:00:00,462.71,09-1994
"Monday, Oct 31, 1994",164.207,1994-10-31 00:00:00,472.35,10-1994
"Wednesday, Nov 30, 1994",155.712,1994-11-30 00:00:00,453.69,11-1994
"Friday, Dec 30, 1994",158.060,1994-12-30 00:00:00,459.27,12-1994
"Tuesday, Jan 31, 1995",159.890,1995-01-31 00:00:00,470.42,01-1995
"Tuesday, Feb 28, 1995",166.192,1995-02-28 00:00:00,487.39,02-1995
"Friday, Mar 31, 1995",173.507,1995-03-31 00:00:00,500.71,03-1995
"Friday, Apr 28, 1995",180.889,1995-04-28 00:00:00,514.71,04-1995
"Wednesday, May 31, 1995",187.201,1995-05-31 00:00:00,533.4,05-1995
"Friday, Jun 30, 1995",193.942,1995-06-30 00:00:00,544.75,06-1995
"Monday, Jul 31, 1995",200.649,1995-07-31 00:00:00,562.06,07-1995
"Thursday, Aug 31, 1995",199.060,1995-08-31 00:00:00,561.88,08-1995
"Friday, Sep 29, 1995",208.182,1995-09-29 00:00:00,584.41,09-1995
"Tuesday, Oct 31, 1995",213.918,1995-10-31 00:00:00,581.5,10-1995
"Thursday, Nov 30, 1995",219.585,1995-11-30 00:00:00,605.37,11-1995
"Friday, Dec 29, 1995",221.141,1995-12-29 00:00:00,615.93,12-1995
"Wednesday, Jan 31, 1996",231.673,1996-01-31 00:00:00,636.02,01-1996
"Thursday, Feb 29, 1996",235.457,1996-02-29 00:00:00,640.43,02-1996
"Friday, Mar 29, 1996",234.736,1996-03-29 00:00:00,645.5,03-1996
"Tuesday, Apr 30, 1996",238.797,1996-04-30 00:00:00,654.17,04-1996
"Friday, May 31, 1996",248.193,1996-05-31 00:00:00,669.12,05-1996
"Friday, Jun 28, 1996",251.403,1996-06-28 00:00:00,670.63,06-1996
"Wednesday, Jul 31, 1996",241.335,1996-07-31 00:00:00,639.95,07-1996
"Friday, Aug 30, 1996",247.175,1996-08-30 00:00:00,651.99,08-1996
"Monday, Sep 30, 1996",263.463,1996-09-30 00:00:00,687.33,09-1996
"Thursday, Oct 31, 1996",271.427,1996-10-31 00:00:00,705.27,10-1996
"Friday, Nov 29, 1996",290.403,1996-11-29 00:00:00,757.02,11-1996
"Tuesday, Dec 31, 1996",282.675,1996-12-31 00:00:00,740.74,12-1996
"Friday, Jan 31, 1997",308.236,1997-01-31 00:00:00,786.16,01-1997
"Friday, Feb 28, 1997",308.601,1997-02-28 00:00:00,790.82,02-1997
"Monday, Mar 31, 1997",291.437,1997-03-31 00:00:00,757.12,03-1997
"Wednesday, Apr 30, 1997",320.225,1997-04-30 00:00:00,801.34,04-1997
"Friday, May 30, 1997",336.102,1997-05-30 00:00:00,848.28,05-1997
"Monday, Jun 30, 1997",354.255,1997-06-30 00:00:00,885.14,06-1997
"Thursday, Jul 31, 1997",383.832,1997-07-31 00:00:00,954.31,07-1997
"Friday, Aug 29, 1997",354.438,1997-08-29 00:00:00,899.47,08-1997
"Tuesday, Sep 30, 1997",373.482,1997-09-30 00:00:00,947.28,09-1997
"Friday, Oct 31, 1997",362.194,1997-10-31 00:00:00,914.62,10-1997
"Friday, Nov 28, 1997",375.815,1997-11-28 00:00:00,955.4,11-1997
"Wednesday, Dec 31, 1997",381.850,1997-12-31 00:00:00,970.43,12-1997
"Friday, Jan 30, 1998",391.852,1998-01-30 00:00:00,980.28,01-1998
"Friday, Feb 27, 1998",416.431,1998-02-27 00:00:00,1049.34,02-1998
"Tuesday, Mar 31, 1998",443.778,1998-03-31 00:00:00,1101.75,03-1998
"Thursday, Apr 30, 1998",461.604,1998-04-30 00:00:00,1111.75,04-1998
"Friday, May 29, 1998",449.822,1998-05-29 00:00:00,1090.82,05-1998
"Tuesday, Jun 30, 1998",484.033,1998-06-30 00:00:00,1133.84,06-1998
"Friday, Jul 31, 1998",491.274,1998-07-31 00:00:00,1120.67,07-1998
"Monday, Aug 31, 1998",413.469,1998-08-31 00:00:00,957.28,08-1998
"Wednesday, Sep 30, 1998",432.802,1998-09-30 00:00:00,1017.01,09-1998
