Date_Easy,MSCI,SP500
31-Jan-1990,86.83,329.08
28-Feb-1990,87.38,331.89
30-Mar-1990,89.83,339.94
30-Apr-1990,88.52,330.8
31-May-1990,98.44,361.23
29-Jun-1990,100.64,358.02
31-Jul-1990,101.09,356.15
31-Aug-1990,92.37,322.56
28-Sep-1990,88.05,306.05
31-Oct-1990,88.96,304
30-Nov-1990,94.45,322.22
31-Dec-1990,95.94,330.22
31-Jan-1991,98.03,343.93
28-Feb-1991,105.71,367.07
30-Apr-1991,109.86,375.34
31-May-1991,112.12,389.83
28-Jun-1991,107.48,371.16
31-Jul-1991,114.43,387.81
30-Aug-1991,118.01,395.43
30-Sep-1991,114.93,387.86
31-Oct-1991,118.89,392.45
29-Nov-1991,115.05,375.22
31-Dec-1991,130.51,417.09
31-Jan-1992,122.89,408.78
28-Feb-1992,123.84,412.7
31-Mar-1992,119.80,403.69
30-Apr-1992,121.03,414.95
29-May-1992,123.20,415.35
30-Jun-1992,119.42,408.14
31-Jul-1992,122.50,424.21
31-Aug-1992,116.29,414.03
30-Sep-1992,118.29,417.8
30-Oct-1992,123.60,418.68
30-Nov-1992,130.19,431.35
31-Dec-1992,133.01,435.71
29-Jan-1993,139.09,438.78
26-Feb-1993,140.79,443.38
31-Mar-1993,146.14,451.67
30-Apr-1993,139.78,440.19
30-Jun-1993,151.27,450.53
30-Jul-1993,154.29,448.13
31-Aug-1993,163.58,463.56
30-Sep-1993,167.42,458.93
29-Oct-1993,168.00,467.83
30-Nov-1993,161.24,461.79
31-Dec-1993,161.51,466.45
31-Jan-1994,171.35,481.61
28-Feb-1994,168.31,467.14
31-Mar-1994,160.48,445.77
29-Apr-1994,158.69,450.91
31-May-1994,161.32,456.5
30-Jun-1994,154.74,444.27
29-Jul-1994,159.46,458.26
31-Aug-1994,166.51,475.49
30-Sep-1994,161.41,462.71
31-Oct-1994,164.21,472.35
30-Nov-1994,155.71,453.69
30-Dec-1994,158.06,459.27
31-Jan-1995,159.89,470.42
28-Feb-1995,166.19,487.39
31-Mar-1995,173.51,500.71
28-Apr-1995,180.89,514.71
31-May-1995,187.20,533.4
30-Jun-1995,193.94,544.75
31-Jul-1995,200.65,562.06
31-Aug-1995,199.06,561.88
29-Sep-1995,208.18,584.41
31-Oct-1995,213.92,581.5
30-Nov-1995,219.59,605.37
29-Dec-1995,221.14,615.93
31-Jan-1996,231.67,636.02
29-Feb-1996,235.46,640.43
29-Mar-1996,234.74,645.5
30-Apr-1996,238.80,654.17
31-May-1996,248.19,669.12
28-Jun-1996,251.40,670.63
31-Jul-1996,241.34,639.95
30-Aug-1996,247.18,651.99
30-Sep-1996,263.46,687.33
31-Oct-1996,271.43,705.27
29-Nov-1996,290.40,757.02
31-Dec-1996,282.68,740.74
31-Jan-1997,308.24,786.16
28-Feb-1997,308.60,790.82
31-Mar-1997,291.44,757.12
30-Apr-1997,320.23,801.34
30-May-1997,336.10,848.28
30-Jun-1997,354.26,885.14
31-Jul-1997,383.83,954.31
29-Aug-1997,354.44,899.47
30-Sep-1997,373.48,947.28
31-Oct-1997,362.19,914.62
28-Nov-1997,375.82,955.4
31-Dec-1997,381.85,970.43
30-Jan-1998,391.85,980.28
27-Feb-1998,416.43,1049.34
31-Mar-1998,443.78,1101.75
30-Apr-1998,461.60,1111.75
29-May-1998,449.82,1090.82
