Date_Easy,MSCI_Change,SP500_Change,,,,,,,,,,,,Please change the title to: S&P 500 Index vs. Victor Wealth Momentum Portfolio Simulation Comparison
26-Feb-10,5%,3%,,,,,,,,,,,,
31-Mar-10,7%,6%,,,,,,,,,,,,
30-Apr-10,1%,1%,,,,,,,,,,,,
30-Jun-10,-12%,-13%,,,,,,,,,,,,
30-Jul-10,8%,7%,,,,,,,,,,,,
31-Aug-10,-5%,-5%,,,,,,,,,,,,
30-Sep-10,10%,9%,,,,,,,,,,,,
29-Oct-10,5%,4%,,,,,,,,,,,,
30-Nov-10,2%,0%,,,,,,,,,,,,
31-Dec-10,4%,7%,,,,,,,,,,,,
31-Jan-11,0%,2%,,,,,,,,,,,,
28-Feb-11,4%,3%,,,,,,,,,,,,
31-Mar-11,2%,0%,,,,,,,,,,,,
29-Apr-11,4%,3%,,,,,,,,,,,,
31-May-11,-1%,-1%,,,,,,,,,,,,
30-Jun-11,-1%,-2%,,,,,,,,,,,,
29-Jul-11,-2%,-2%,,,,,,,,,,,,
31-Aug-11,-6%,-6%,,,,,,,,,,,,
30-Sep-11,-5%,-7%,,,,,,,,,,,,
31-Oct-11,8%,11%,,,,,,,,,,,,
30-Nov-11,0%,-1%,,,,,,,,,,,,
30-Dec-11,1%,1%,,,,,,,,,,,,
31-Jan-12,2%,4%,,,,,,,,,,,,
29-Feb-12,5%,4%,,,,,,,,,,,,
30-Mar-12,4%,3%,,,,,,,,,,,,
30-Apr-12,2%,-1%,,,,,,,,,,,,
31-May-12,-5%,-6%,,,,,,,,,,,,
29-Jun-12,3%,4%,,,,,,,,,,,,
31-Jul-12,1%,1%,,,,,,,,,,,,
31-Aug-12,1%,2%,,,,,,,,,,,,
28-Sep-12,2%,2%,,,,,,,,,,,,
31-Oct-12,-2%,-2%,,,,,,,,,,,,
30-Nov-12,1%,0%,,,,,,,,,,,,
31-Dec-12,-1%,1%,,,,,,,,,,,,
31-Jan-13,4%,5%,,,,,,,,,,,,
28-Feb-13,2%,1%,,,,,,,,,,,,
30-Apr-13,8%,5%,,,,,,,,,,,,
31-May-13,0%,2%,,,,,,,,,,,,
28-Jun-13,-1%,-1%,,,,,,,,,,,,
31-Jul-13,6%,5%,,,,,,,,,,,,
30-Aug-13,-4%,-3%,,,,,,,,,,,,
30-Sep-13,3%,3%,,,,,,,,,,,,
31-Oct-13,5%,4%,,,,,,,,,,,,
29-Nov-13,3%,3%,,,,,,,,,,,,
