﻿Date,Value,Group
"Friday, Apr 28, 1995",180.889,MSCI
"Friday, Apr 28, 2000",783.384,MSCI
"Friday, Apr 28, 2006",882.509,MSCI
"Friday, Apr 28, 2017","1,841.61",MSCI
"Friday, Apr 29, 1994",158.685,MSCI
"Friday, Apr 29, 2005",700.943,MSCI
"Friday, Apr 29, 2011",929.258,MSCI
"Friday, Apr 29, 2016","1,578.60",MSCI
"Friday, Apr 30, 1993",139.781,MSCI
"Friday, Apr 30, 1999",606.015,MSCI
"Friday, Apr 30, 2004",608.376,MSCI
"Friday, Apr 30, 2010",762.065,MSCI
"Friday, Aug 29, 1997",354.438,MSCI
"Friday, Aug 29, 2003",569.59,MSCI
"Friday, Aug 29, 2008",932.19,MSCI
"Friday, Aug 29, 2014","1,422.40",MSCI
"Friday, Aug 30, 1991",118.014,MSCI
"Friday, Aug 30, 1996",247.175,MSCI
"Friday, Aug 30, 2002",545.365,MSCI
"Friday, Aug 30, 2013","1,139.11",MSCI
"Friday, Aug 30, 2019","2,629.46",MSCI
"Friday, Aug 31, 1990",92.368,MSCI
"Friday, Aug 31, 2001",574.667,MSCI
"Friday, Aug 31, 2007",960.852,MSCI
"Friday, Aug 31, 2012",993.494,MSCI
"Friday, Aug 31, 2018","2,560.94",MSCI
"Friday, Dec 29, 1995",221.141,MSCI
"Friday, Dec 29, 2000",706.714,MSCI
"Friday, Dec 29, 2006",917.722,MSCI
"Friday, Dec 29, 2017","2,239.38",MSCI
"Friday, Dec 30, 1994",158.06,MSCI
"Friday, Dec 30, 2005",837.612,MSCI
"Friday, Dec 30, 2011",876.854,MSCI
"Friday, Dec 30, 2016","1,648.77",MSCI
"Friday, Dec 31, 1993",161.514,MSCI
"Friday, Dec 31, 1999",785.892,MSCI
"Friday, Dec 31, 2004",712.357,MSCI
"Friday, Dec 31, 2010",842.318,MSCI
"Friday, Feb 26, 1993",140.794,MSCI
"Friday, Feb 26, 1999",572.084,MSCI
"Friday, Feb 26, 2010",706.715,MSCI
"Friday, Feb 27, 1998",416.431,MSCI
"Friday, Feb 27, 2004",640.811,MSCI
"Friday, Feb 27, 2009",507.491,MSCI
"Friday, Feb 27, 2015","1,546.52",MSCI
"Friday, Feb 28, 1992",123.844,MSCI
"Friday, Feb 28, 1997",308.601,MSCI
"Friday, Feb 28, 2003",482.339,MSCI
"Friday, Feb 28, 2014","1,359.33",MSCI
"Friday, Feb 28, 2020","2,622.74",MSCI
"Friday, Feb 29, 2008",938.316,MSCI
"Friday, Jan 29, 1993",139.086,MSCI
"Friday, Jan 29, 1999",587.011,MSCI
"Friday, Jan 29, 2010",675.018,MSCI
"Friday, Jan 29, 2016","1,534.93",MSCI
"Friday, Jan 30, 1998",391.852,MSCI
"Friday, Jan 30, 2004",632.822,MSCI
"Friday, Jan 30, 2009",564.843,MSCI
"Friday, Jan 30, 2015","1,469.62",MSCI
"Friday, Jan 31, 1992",122.894,MSCI
"Friday, Jan 31, 1997",308.236,MSCI
"Friday, Jan 31, 2003",487.191,MSCI
"Friday, Jan 31, 2014","1,276.27",MSCI
"Friday, Jan 31, 2020","2,835.07",MSCI
"Friday, Jul 29, 1994",159.462,MSCI
"Friday, Jul 29, 2005",783.171,MSCI
"Friday, Jul 29, 2011",898.003,MSCI
"Friday, Jul 29, 2016","1,703.62",MSCI
"Friday, Jul 30, 1993",154.288,MSCI
"Friday, Jul 30, 1999",614.773,MSCI
"Friday, Jul 30, 2004",609.125,MSCI
"Friday, Jul 30, 2010",721.382,MSCI
"Friday, Jul 31, 1992",122.497,MSCI
"Friday, Jul 31, 1998",491.274,MSCI
"Friday, Jul 31, 2009",646.029,MSCI
"Friday, Jul 31, 2015","1,612.70",MSCI
"Friday, Jul 31, 2020","3,053.47",MSCI
"Friday, Jun 28, 1991",107.483,MSCI
"Friday, Jun 28, 1996",251.403,MSCI
"Friday, Jun 28, 2002",575.012,MSCI
"Friday, Jun 28, 2013","1,113.68",MSCI
"Friday, Jun 28, 2019","2,581.44",MSCI
"Friday, Jun 29, 1990",100.638,MSCI
"Friday, Jun 29, 2001",593.274,MSCI
"Friday, Jun 29, 2007",982.637,MSCI
"Friday, Jun 29, 2012",970.45,MSCI
"Friday, Jun 29, 2018","2,380.57",MSCI
"Friday, Jun 30, 1995",193.942,MSCI
"Friday, Jun 30, 2000",778.726,MSCI
"Friday, Jun 30, 2006",852.11,MSCI
"Friday, Jun 30, 2017","1,932.78",MSCI
"Friday, Mar 29, 1996",234.736,MSCI
"Friday, Mar 29, 2019","2,441.17",MSCI
"Friday, Mar 30, 1990",89.827,MSCI
"Friday, Mar 30, 2001",573.757,MSCI
"Friday, Mar 30, 2007",942.779,MSCI
"Friday, Mar 30, 2012",975.011,MSCI
"Friday, Mar 31, 1995",173.507,MSCI
"Friday, Mar 31, 2000",827.092,MSCI
"Friday, Mar 31, 2006",872.334,MSCI
"Friday, Mar 31, 2017","1,797.58",MSCI
"Friday, May 29, 1992",123.204,MSCI
"Friday, May 29, 1998",449.822,MSCI
"Friday, May 29, 2009",592.95,MSCI
"Friday, May 29, 2015","1,559.60",MSCI
"Friday, May 29, 2020","2,741.86",MSCI
"Friday, May 30, 1997",336.102,MSCI
"Friday, May 30, 2003",539.502,MSCI
"Friday, May 30, 2008","1,050.99",MSCI
"Friday, May 30, 2014","1,350.42",MSCI
"Friday, May 31, 1991",112.119,MSCI
"Friday, May 31, 1996",248.193,MSCI
"Friday, May 31, 2002",606.945,MSCI
"Friday, May 31, 2013","1,125.86",MSCI
"Friday, May 31, 2019","2,432.83",MSCI
"Friday, Nov 28, 1997",375.815,MSCI
"Friday, Nov 28, 2003",605.274,MSCI
"Friday, Nov 28, 2008",614.669,MSCI
"Friday, Nov 28, 2014","1,496.64",MSCI
"Friday, Nov 29, 1991",115.053,MSCI
"Friday, Nov 29, 1996",290.403,MSCI
"Friday, Nov 29, 2002",507.389,MSCI
"Friday, Nov 29, 2013","1,268.74",MSCI
"Friday, Nov 29, 2019","2,692.07",MSCI
"Friday, Nov 30, 1990",94.448,MSCI
"Friday, Nov 30, 2001",567.058,MSCI
"Friday, Nov 30, 2007","1,035.75",MSCI
"Friday, Nov 30, 2012","1,000.00",MSCI
"Friday, Nov 30, 2018","2,355.98",MSCI
"Friday, Oct 29, 1993",168.003,MSCI
"Friday, Oct 29, 1999",660.109,MSCI
"Friday, Oct 29, 2004",650.237,MSCI
"Friday, Oct 29, 2010",796.444,MSCI
"Friday, Oct 30, 1992",123.602,MSCI
"Friday, Oct 30, 1998",472.791,MSCI
"Friday, Oct 30, 2009",657.515,MSCI
"Friday, Oct 30, 2015","1,590.89",MSCI
"Friday, Oct 31, 1997",362.194,MSCI
"Friday, Oct 31, 2003",599.686,MSCI
"Friday, Oct 31, 2008",672.706,MSCI
"Friday, Oct 31, 2014","1,444.55",MSCI
"Friday, Sep 28, 1990",88.053,MSCI
"Friday, Sep 28, 2001",536.792,MSCI
"Friday, Sep 28, 2007","1,027.78",MSCI
"Friday, Sep 28, 2012","1,010.02",MSCI
"Friday, Sep 28, 2018","2,583.61",MSCI
"Friday, Sep 29, 1995",208.182,MSCI
"Friday, Sep 29, 2000",749.753,MSCI
"Friday, Sep 29, 2006",832.043,MSCI
"Friday, Sep 29, 2017","2,079.57",MSCI
"Friday, Sep 30, 1994",161.408,MSCI
"Friday, Sep 30, 2005",826.228,MSCI
"Friday, Sep 30, 2011",801.317,MSCI
"Friday, Sep 30, 2016","1,681.23",MSCI
"Monday, Apr 30, 1990",88.519,MSCI
"Monday, Apr 30, 2001",615.099,MSCI
"Monday, Apr 30, 2007",977.363,MSCI
"Monday, Apr 30, 2012",991.743,MSCI
